;0
206;Eddie Palmieri
386;Eddie Palmieri,Ismael Quintana
361;Edie Brickell & New Bohemians
147;Edna St. Vincent Millay
859;Eiffel 65,Gabry Ponte
631;Ekin Cheng
934;El Fantasma
773;El Simbolo
260;Electric Light Orchestra
750;Elephant Man
951;Ellise
340;Elton John
910;Elvis Costello
786;Eminem
385;Ernesto Bassignano
621;Erykah Badu
810;F.I.R.
742;F4
212;Fairuz
617;Fall Out Boy
388;Fania All Stars,Ismael Rivera,Roberto Roena,Luis Perico Ortiz
314;Fats Domino
436;Faye Wong
146;Federico Moreno Torroba,Andrés Segovia
0;Federico Moreno Torroba,Vicente Gomez,Guillermo Gomez
896;Fei Yu-ching
604;Fei Yu-ching,Chang Li,Chi Tian Zhe Ye,Yang-Fu
869;Feist
283;Fela Kuti feat. Ginger Baker
924;Fifth Harmony
46;Fig
656;Fish Leong
716;Five Finger Death Punch
281;Fleetwood Mac
457;Foreigner
533;Fourplay
813;Foxygen
144;Frances Archer,Beverly Gile
560;Frances Yip
263;Francesco De Masi
79;Francisco Canaro
37;Francisco Canaro,Francisco Amor
67;Francisco Canaro,Roberto Maida
217;Frank Sinatra
347;Frankie Paul
173;Frantz Casseus,Lolita Cuevas
267;Fred Neil
921;Freddie Gibbs,The Alchemist
137;Frente Popular
827;Frostydasnowmann
376;Fugazi
532;Fugees
849;G.E.M.
176;Gabriel Fauré,Robert Casadesus,Gaby Casadesus
60;Gaby Montbreuse
768;Galantis
305;Gang Of Four
55;Geeta Dutt
182;Geeta Dutt,Mohammed Rafi
133;Gene Autry
435;George Benson
398;George Duke
354;George Harrison
406;George Lam
469;George Lam,Cai Xian Le,Danny Chung
396;George Lam,Danny Chung,David Ling Jr
418;George Lam,David Ling Jr
21;George Mutoo and His Demerara Orchestra,Roaring Lion
61;George Olsen
183;Ghantasala,P. Susheela
746;Gil Scott-Heron
722;Gillian Hills
415;Gin Blossoms
100;Giorgos Kavouras
80;Giorgos Papasideris
120;Giorgos Papasideris,Antonis Lavidas-klarino
58;Giorgos Papasideris,Klarino-Antonis Lavidas
471;Gloria Estefan,Miami Sound Machine
539;Gnonnas Pédro
276;Gordon Lightfoot
637;Gorillaz
553;Gorky Park
175;Grace Chang
958;Gracie Abrams
521;Graham Nash
550;Grasshopper
423;Green Day
375;Grigoris Bithikotsis,Haroula Labraki
127;Group of Wadjiginy
138;Guandulito
736;Gunther & the Sunshine Girls
321;Hacken Lee
221;Hank Snow
334;Hank Williams, Jr.
399;Hapa
105;Harishchandra Bali
867;Harlem Yu
114;Harry Gold & His Pieces Of Eight
350;Harry Nilsson
981;Harry Styles
437;Haruomi Hosono,イエロー・マジック・バンド
787;Hebe Tien
794;Hector & Tito
177;Henry Mancini
330;Herb Alpert
148;Hermanas Lima
566;Heroes Del Silencio
23;Hesen Zîrek
908;Highly Suspect
751;Hikaru Utada
211;Hoagy Carmichael
152;Hociel Thomas,Louis Armstrong
620;Hot Chelle Rae,Maejor
365;Houshmand Aghili
646;Howard Shore
853;Hu Xia
111;Hugh Tracey
439;Héctor Lavoe
304;Iggy Pop
63;Ignacio Corsini
756;Inner Wave
745;Insane Clown Posse
121;Ioannis Panagiotopoulos
93;Ioannis Xristou
1;Issachar Miron,Yechiel Haggiz,Julius Grossman,Richard Tucker,Sholom Secunda
59;J Balvin
735;J. Cole
882;JAY-Z
797;JJ Lin
807;JJ Lin,Charlene Choi
9;Jack Jackson & His Orchestra
916;Jack Ü,Skrillex,Diplo,kai
149;Jackie Gleason
339;Jacky Cheung
605;Jacky Cheung,Anita Mui
741;Jacky Cheung,高慧君
961;Jacquees
915;Jake Scott
949;James Blunt
485;Jane Sherberg
517;Janet Jackson
832;Janis Joplin
778;Jason Aldean
592;Jay Chou
833;Jay Chou,Lara Liang
66;Jean Moscopol
526;Jeezy,T.I.,Lil Scrappy
654;Jeff Buckley
717;Jeff Chang
467;Jenny Tseng,Roman Tam
272;Jerry Jeff Walker
311;Jerry Vale
725;Jesse Powell,Gerald Albright
866;Jessie J,Ariana Grande,Nicki Minaj
694;Jimmy Buffett
647;Jimmy Eat World
153;Joaquín Turina,Andrés Segovia
264;Joaquín Turina,Julian Bream
852;Jodeci
672;Joe Cuba Sextet
403;Joe Hisaishi
233;Joel Grey
784;Joey Yung
420;John Anderson
296;John Cale
181;John Coltrane
284;John Coltrane Quartet
407;John Denver
683;John Mayer
528;John Williams
809;John Williams,London Symphony Orchestra
223;Johnny Cash
295;Johnny Cash,June Carter Cash
497;Johnny Ip
516;Johnny Winter
799;Joker Xue
927;Jonas Blue,William Singe
804;Jordan Chan
658;Josh Rouse
697;José Feliciano,Ewan McGregor,Jacek Koman
166;"Judy Garland,David Lee', ""Jos Cleber's Cosmopolitan Orchestra"", 'Norrie Paramor"
971;Julia Michaels
